Circuit: * C:\Users\Frank Walsh\Documents\GitHub\AUV-Senior-Design\Frank\chum-bucket\Sims\Battery Charger Buck\Draft1.asc

WARNING: Less than two connections to node NC_01.  This node is used by R:U2:GLR.
Model "u2:nfetls:pmosd": Oxide thickness thinner than recommended for a level 1 MOSFET.
Instance "m:u2:nfetls:2": Length shorter than recommended for a level 1 MOSFET.
Model "u2:nfeths:pmosd": Oxide thickness thinner than recommended for a level 1 MOSFET.
Instance "m:u2:nfeths:2": Length shorter than recommended for a level 1 MOSFET.
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000130381 to 0.000130381
Heightened Def Con from 0.000131127 to 0.00013114
Heightened Def Con from 0.000132041 to 0.000132041
Heightened Def Con from 0.000132787 to 0.0001328
Heightened Def Con from 0.000133701 to 0.000133701
Heightened Def Con from 0.000134447 to 0.00013446
Heightened Def Con from 0.000135361 to 0.000135361
Heightened Def Con from 0.000136107 to 0.00013612
Heightened Def Con from 0.000137021 to 0.000137021
Heightened Def Con from 0.000137767 to 0.00013778
Heightened Def Con from 0.000138681 to 0.000138681
Heightened Def Con from 0.000139427 to 0.00013944
Heightened Def Con from 0.000140341 to 0.000140341
Heightened Def Con from 0.000141087 to 0.0001411
Heightened Def Con from 0.000142001 to 0.000142001
Heightened Def Con from 0.000142747 to 0.00014276
Heightened Def Con from 0.000143661 to 0.000143661
Heightened Def Con from 0.000144407 to 0.00014442
Heightened Def Con from 0.000145321 to 0.000145321
Heightened Def Con from 0.000146067 to 0.00014608
Heightened Def Con from 0.000146981 to 0.000146981
Heightened Def Con from 0.000147727 to 0.00014774
Heightened Def Con from 0.000148641 to 0.000148641
Heightened Def Con from 0.000149387 to 0.0001494
Heightened Def Con from 0.000150301 to 0.000150302
Heightened Def Con from 0.000150303 to 0.000150314
Heightened Def Con from 0.000151047 to 0.00015106
Heightened Def Con from 0.000151961 to 0.000151962
Heightened Def Con from 0.000151963 to 0.000151974
Heightened Def Con from 0.000152707 to 0.00015272
Heightened Def Con from 0.000153621 to 0.000153621
Heightened Def Con from 0.000154367 to 0.00015438
Heightened Def Con from 0.000155281 to 0.000155282
Heightened Def Con from 0.000156027 to 0.00015604
Heightened Def Con from 0.000156941 to 0.000156942
Heightened Def Con from 0.000156943 to 0.000156954
Heightened Def Con from 0.000157687 to 0.0001577
Heightened Def Con from 0.000158601 to 0.000158602
Heightened Def Con from 0.000159347 to 0.00015936
Heightened Def Con from 0.000160261 to 0.000160262
Heightened Def Con from 0.000161007 to 0.00016102
Heightened Def Con from 0.000161921 to 0.000161922
Heightened Def Con from 0.000162667 to 0.00016268
Heightened Def Con from 0.000163581 to 0.000163582
Heightened Def Con from 0.000163583 to 0.000163597
Heightened Def Con from 0.000164327 to 0.00016434
Heightened Def Con from 0.000165241 to 0.000165242
Heightened Def Con from 0.000165243 to 0.000165254
Heightened Def Con from 0.000165987 to 0.000166
Heightened Def Con from 0.000166901 to 0.000166902
Heightened Def Con from 0.000166903 to 0.000166914
Heightened Def Con from 0.000167647 to 0.00016766
Heightened Def Con from 0.000168561 to 0.000168562
Heightened Def Con from 0.000168563 to 0.000168577
Heightened Def Con from 0.000169307 to 0.00016932
Heightened Def Con from 0.000170221 to 0.000170222
Heightened Def Con from 0.000170223 to 0.000170235
Heightened Def Con from 0.000170967 to 0.00017098
Heightened Def Con from 0.000171881 to 0.000171882
Heightened Def Con from 0.000171883 to 0.000171897
Heightened Def Con from 0.000172627 to 0.00017264
Heightened Def Con from 0.000173541 to 0.000173542
Heightened Def Con from 0.000173543 to 0.000173557
Heightened Def Con from 0.000174287 to 0.0001743
Heightened Def Con from 0.000175201 to 0.000175202
Heightened Def Con from 0.000175203 to 0.000175217
Heightened Def Con from 0.000175947 to 0.00017596
Heightened Def Con from 0.000176861 to 0.000176862
Heightened Def Con from 0.000176863 to 0.000176877
Heightened Def Con from 0.000177607 to 0.00017762
Heightened Def Con from 0.000178521 to 0.000178522
Heightened Def Con from 0.000178523 to 0.000178535
Heightened Def Con from 0.000179267 to 0.00017928
Heightened Def Con from 0.000180181 to 0.000180182
Heightened Def Con from 0.000180183 to 0.000180197
Heightened Def Con from 0.000180927 to 0.00018094
Heightened Def Con from 0.000181841 to 0.000181842
Heightened Def Con from 0.000181843 to 0.000181857
Heightened Def Con from 0.000182587 to 0.0001826
Heightened Def Con from 0.000183501 to 0.000183502
Heightened Def Con from 0.000184247 to 0.00018426
Heightened Def Con from 0.000185161 to 0.000185162
Heightened Def Con from 0.000185163 to 0.000185177
Heightened Def Con from 0.000185907 to 0.00018592
Heightened Def Con from 0.000186821 to 0.000186822
Heightened Def Con from 0.000186823 to 0.000186834
Heightened Def Con from 0.000187567 to 0.00018758
Heightened Def Con from 0.000188481 to 0.000188482
Heightened Def Con from 0.000189227 to 0.00018924
Heightened Def Con from 0.000190141 to 0.000190142
Heightened Def Con from 0.000190143 to 0.000190154
Heightened Def Con from 0.000190887 to 0.0001909
Heightened Def Con from 0.000191801 to 0.000191802
Heightened Def Con from 0.000192547 to 0.00019256
Heightened Def Con from 0.000193461 to 0.000193462
Heightened Def Con from 0.000193463 to 0.000193474
Heightened Def Con from 0.000194207 to 0.00019422
Heightened Def Con from 0.000195121 to 0.000195122
Heightened Def Con from 0.000195123 to 0.000195134
Heightened Def Con from 0.000195867 to 0.00019588
Heightened Def Con from 0.000196781 to 0.000196782
Heightened Def Con from 0.000197527 to 0.00019754
Heightened Def Con from 0.000198441 to 0.000198442
Heightened Def Con from 0.000199187 to 0.0001992
Heightened Def Con from 0.000200101 to 0.000200102
Heightened Def Con from 0.000200847 to 0.00020086
Heightened Def Con from 0.000201761 to 0.000201762
Heightened Def Con from 0.000202507 to 0.00020252
Heightened Def Con from 0.000203421 to 0.000203422
Heightened Def Con from 0.000204167 to 0.00020418
Heightened Def Con from 0.000205081 to 0.000205082
Heightened Def Con from 0.000205827 to 0.00020584
Heightened Def Con from 0.000206741 to 0.000206742
Heightened Def Con from 0.000207487 to 0.0002075
Heightened Def Con from 0.000208401 to 0.000208402
Heightened Def Con from 0.000209147 to 0.00020916
Heightened Def Con from 0.000210061 to 0.000210062
Heightened Def Con from 0.000210807 to 0.00021082
Heightened Def Con from 0.000211721 to 0.000211722
Heightened Def Con from 0.000212467 to 0.00021248
Heightened Def Con from 0.000213381 to 0.000213382
Heightened Def Con from 0.000214127 to 0.00021414
Heightened Def Con from 0.000215041 to 0.000215042
Heightened Def Con from 0.000215043 to 0.000215054
Heightened Def Con from 0.000215787 to 0.0002158
Heightened Def Con from 0.000216701 to 0.000216702
Heightened Def Con from 0.000217447 to 0.00021746
